,n,CV_mode,Model,R2_val,R2_test,Parameters,object
48,48,loo,HistGradientBoostingRegressor,0.19196468183986037,0.21590860295650938,"{'learning_rate': 0.0008673351369903279, 'max_depth': 10, 'min_samples_leaf': 20, 'max_leaf_nodes': 11, 'max_features': 0.7333861344364371, 'l2_regularization': 0.34570232423498914}",
49,49,loo,HistGradientBoostingRegressor,0.7869594683868532,0.8296235212515533,"{'learning_rate': 0.26538266940344196, 'max_depth': 1, 'min_samples_leaf': 7, 'max_leaf_nodes': 28, 'max_features': 0.11166163781745482, 'l2_regularization': 0.3154803560047329}",
50,0,loo,XGBRegressor,-0.009717291119033744,0.010485440553519965,"{'learning_rate': 0.00013128628950265323, 'max_depth': 23, 'max_leaves': 13, 'min_child_weight': 8, 'reg_alpha': 7.491874984570749e-05, 'reg_lambda': 1.157215546778951e-06, 'subsample': 0.6811181662146799, 'colsample_bytree': 0.733674765701146}",
51,1,loo,XGBRegressor,0.33367235399030104,0.41052059967326016,"{'learning_rate': 0.005775400303072489, 'max_depth': 7, 'max_leaves': 35, 'min_child_weight': 4, 'reg_alpha': 2.0737719833115806e-07, 'reg_lambda': 1.965113642872871e-07, 'subsample': 0.6499259304254085, 'colsample_bytree': 0.6791594096887206}",
52,2,loo,XGBRegressor,0.7508853983940458,0.8456254347875399,"{'learning_rate': 0.15692464729825076, 'max_depth': 4, 'max_leaves': 10, 'min_child_weight': 7, 'reg_alpha': 0.00024199071337612494, 'reg_lambda': 2.029856343370028e-05, 'subsample': 0.8031784434897729, 'colsample_bytree': 0.5487160755369667}",
53,3,loo,XGBRegressor,0.7439132608467787,0.8361423062405622,"{'learning_rate': 0.11292729191619194, 'max_depth': 40, 'max_leaves': 31, 'min_child_weight': 7, 'reg_alpha': 1.3204583663203285e-05, 'reg_lambda': 0.8705119959816136, 'subsample': 0.7099578280586694, 'colsample_bytree': 0.8660012902516554}",
54,4,loo,XGBRegressor,0.44146133323647785,0.5026516370700602,"{'learning_rate': 0.01008319303539657, 'max_depth': 27, 'max_leaves': 23, 'min_child_weight': 8, 'reg_alpha': 2.768027725449277e-07, 'reg_lambda': 0.0677127325485689, 'subsample': 0.558490237305855, 'colsample_bytree': 0.8014802115966422}",
55,5,loo,XGBRegressor,0.7414848278336676,0.8226462277258261,"{'learning_rate': 0.1160301443412995, 'max_depth': 22, 'max_leaves': 8, 'min_child_weight': 9, 'reg_alpha': 1.3086807027203331e-05, 'reg_lambda': 2.3385695950761947e-06, 'subsample': 0.5131856585911054, 'colsample_bytree': 0.9669828671587013}",
56,6,loo,XGBRegressor,0.1817357921861199,0.23598920368736875,"{'learning_rate': 0.0032076138371471183, 'max_depth': 11, 'max_leaves': 11, 'min_child_weight': 7, 'reg_alpha': 0.4882722098001835, 'reg_lambda': 1.4057930328350208, 'subsample': 0.9342031901516272, 'colsample_bytree': 0.872173530407603}",
57,7,loo,XGBRegressor,0.7280219161566378,0.8284220211288377,"{'learning_rate': 0.08151771281056606, 'max_depth': 5, 'max_leaves': 39, 'min_child_weight': 1, 'reg_alpha': 0.0037150049825101536, 'reg_lambda': 0.9675532371901181, 'subsample': 0.6939570065261211, 'colsample_bytree': 0.7179604900256435}",
58,8,loo,XGBRegressor,0.2847003949586384,0.3406777093040867,"{'learning_rate': 0.005275985603442713, 'max_depth': 31, 'max_leaves': 8, 'min_child_weight': 10, 'reg_alpha': 5.834221130311816e-05, 'reg_lambda': 1.3698768600524595e-07, 'subsample': 0.7215862903246779, 'colsample_bytree': 0.9761662637371826}",
59,9,loo,XGBRegressor,-0.011320743345560436,0.008760502552349947,"{'learning_rate': 0.00013364449043908017, 'max_depth': 2, 'max_leaves': 21, 'min_child_weight': 6, 'reg_alpha': 1.2724350172795918e-08, 'reg_lambda': 0.010263998150458618, 'subsample': 0.7258344596870417, 'colsample_bytree': 0.6796608977534189}",
60,10,loo,XGBRegressor,0.5977771081754466,0.7172908689023821,"{'learning_rate': 0.02022798688037477, 'max_depth': 31, 'max_leaves': 13, 'min_child_weight': 3, 'reg_alpha': 0.0001561156616931389, 'reg_lambda': 3.9684380435740315e-07, 'subsample': 0.8350796426718441, 'colsample_bytree': 0.5833077159403253}",
61,11,loo,XGBRegressor,0.7195396797096943,0.781365161797024,"{'learning_rate': 0.09075243848646343, 'max_depth': 1, 'max_leaves': 11, 'min_child_weight': 4, 'reg_alpha': 1.913098886906439e-07, 'reg_lambda': 0.011181807476218148, 'subsample': 0.7462919604808766, 'colsample_bytree': 0.6181131865687244}",
62,12,loo,XGBRegressor,-0.009205693398062431,0.011477387796537286,"{'learning_rate': 0.00011425960745735288, 'max_depth': 12, 'max_leaves': 12, 'min_child_weight': 5, 'reg_alpha': 1.4945353585415155, 'reg_lambda': 0.0005842200434294898, 'subsample': 0.8754862105367185, 'colsample_bytree': 0.7567820952201871}",
63,13,loo,XGBRegressor,0.056797550616782044,0.08093124728112899,"{'learning_rate': 0.0013617367284452083, 'max_depth': 2, 'max_leaves': 4, 'min_child_weight': 9, 'reg_alpha': 1.1916214227962954e-08, 'reg_lambda': 0.0022833802292347946, 'subsample': 0.7591783120665742, 'colsample_bytree': 0.5265883761072396}",
64,14,loo,XGBRegressor,0.20097682984363996,0.24153892153147338,"{'learning_rate': 0.003945152291849992, 'max_depth': 4, 'max_leaves': 17, 'min_child_weight': 9, 'reg_alpha': 0.0225328695041968, 'reg_lambda': 0.3692883683798253, 'subsample': 0.7728316214955526, 'colsample_bytree': 0.5498365779752123}",
65,15,loo,XGBRegressor,0.13996457859151368,0.18998241673802585,"{'learning_rate': 0.0019275170055725046, 'max_depth': 26, 'max_leaves': 32, 'min_child_weight': 6, 'reg_alpha': 0.22840208856123412, 'reg_lambda': 1.2582759800307837e-08, 'subsample': 0.9006037696263949, 'colsample_bytree': 0.9191691203366952}",
66,16,loo,XGBRegressor,0.1247680606754914,0.1621255455840136,"{'learning_rate': 0.002007039842262212, 'max_depth': 20, 'max_leaves': 38, 'min_child_weight': 7, 'reg_alpha': 0.6508690158561233, 'reg_lambda': 4.685741987109512e-07, 'subsample': 0.5561655950442876, 'colsample_bytree': 0.9412824759419693}",
67,17,loo,XGBRegressor,0.6858700817772367,0.8195925170152972,"{'learning_rate': 0.03595567266137577, 'max_depth': 27, 'max_leaves': 39, 'min_child_weight': 5, 'reg_alpha': 0.011501336406535933, 'reg_lambda': 0.06432748011442509, 'subsample': 0.7154070805628172, 'colsample_bytree': 0.6789088288268662}",
68,18,loo,XGBRegressor,0.4717600240044181,0.5391979947308383,"{'learning_rate': 0.012453699467609158, 'max_depth': 39, 'max_leaves': 23, 'min_child_weight': 5, 'reg_alpha': 8.065624009374787e-07, 'reg_lambda': 1.245064983031651, 'subsample': 0.5198787110193177, 'colsample_bytree': 0.7125604342616281}",
69,19,loo,XGBRegressor,-0.004679716108435761,0.01730597963199565,"{'learning_rate': 0.00015526503293815955, 'max_depth': 39, 'max_leaves': 31, 'min_child_weight': 4, 'reg_alpha': 2.1234446539493587e-05, 'reg_lambda': 1.0467858764728708e-07, 'subsample': 0.9642970409164535, 'colsample_bytree': 0.8643717970592777}",
70,20,loo,XGBRegressor,0.7051111159600556,0.8011735467873731,"{'learning_rate': 0.36038546319267606, 'max_depth': 39, 'max_leaves': 31, 'min_child_weight': 5, 'reg_alpha': 1.3217595445697844e-06, 'reg_lambda': 0.014063397548295744, 'subsample': 0.7828505784651858, 'colsample_bytree': 0.8961525985445302}",
71,21,loo,XGBRegressor,0.7517080016775985,0.783558415589998,"{'learning_rate': 0.4199111484160136, 'max_depth': 29, 'max_leaves': 3, 'min_child_weight': 7, 'reg_alpha': 2.416995040995389e-06, 'reg_lambda': 3.493268314856024e-08, 'subsample': 0.5268726467749649, 'colsample_bytree': 0.8917340270410803}",
